,user,id,text,created_at,clean_text,polarity,subjectivity,sentiment,neg,neu,pos,compound,topic_id,topic
0,@naa_two,1379420753410486274,"@Dev_Fadnavis @CMOMaharashtra कोणाकडून वचन पाळण्याची अपेक्षा करत होतात? २०१९ च्या विधानसभेच्या निवडणुका विसरलात का! 😆
#Maharashtra #Lockdown",2021-04-06 13:08:30+00:00,fadnavis maharashtra lockdown,0.0,0.0,neutral,0.0,1.0,0.0,0.0,2,Unknown
1,@naa_two,1327838725972185090,@nitin_gadkari Wonder if the #fastag implementation at EEH Toll in Mumbai is under the central or the state authori… https://t.co/mEQrzTmZtj,2020-11-15 04:59:56+00:00,gadkari wonder if the fastag implementation at eeh toll in mumbai is under the central or the state authori,0.0,0.25,neutral,0.0,1.0,0.0,0.0,2,Unknown
2,@naa_two,1309323330579656704,@TMCaTweetAway Pohocha nahi lagta hai concerned department tak. #Thane @TMCaTweetAway https://t.co/QUpUmoQkH5,2020-09-25 02:46:22+00:00,pohocha nahi lagta hai concerned department tak thane,0.0,0.0,neutral,0.0,1.0,0.0,0.0,1,Cricket
3,@naa_two,1303683807002857478,Priorities. #DeathOfDemocracy @OfficeofUT #MVA https://t.co/uLvVSDk2L6,2020-09-09 13:16:55+00:00,priorities deathofdemocracy mva,0.0,0.0,neutral,0.0,1.0,0.0,0.0,2,Unknown
4,@naa_two,1303664055949750274,50 days today since the order cancellation. Wasted an hour today speaking to your customer care. Everytime I ask fo… https://t.co/CMfJtWpCH1,2020-09-09 11:58:26+00:00,50 days today since the order cancellation wasted an hour today speaking to your customer care everytime i ask fo,-0.2,0.0,neutral,0.137,0.726,0.137,0.0,1,Cricket
5,@naa_two,1119619083647930368,"@Uber_India Dafaq😂
@MumbaiPolice https://t.co/dVJDeC2KU2",2019-04-20 15:09:25+00:00,india dafaq,0.0,0.0,neutral,0.0,1.0,0.0,0.0,1,Cricket
6,@naa_two,895110322234703873,"Reservations were meant to empower the disempowered. Here, ppl on RE Bullets, with decent clothes and smartphones! 👏🙌 #GrowUp #MarathaMorcha",2017-08-09 02:31:45+00:00,reservations were meant to empower the disempowered here ppl on re bullets with decent clothes and smartphones growup marathamorcha,0.16666666666666666,0.6666666666666666,neutral,0.0,1.0,0.0,0.0,2,Unknown
7,@naa_two,883318107263160320,@ThaneCityPolice @Dev_Fadnavis TMC Mayor's car just jumped the signal at Teen Hath Naka at 19:02 local time. (1/n),2017-07-07 13:33:42+00:00,fadnavis tmc mayor s car just jumped the signal at teen hath naka at 19 02 local time 1 n,0.0,0.0,neutral,0.0,1.0,0.0,0.0,2,Unknown
8,@naa_two,870872827682996224,"RT @Yashnimse: @Hungama_com @RaabtaOfficial @itsSSR @kritisanon https://t.co/5YL6toni1z

❤❤❤

#HUNGAMAxRAABTA",2017-06-03 05:20:36+00:00,com hungamaxraabta,0.0,0.0,neutral,0.0,1.0,0.0,0.0,0,Politics
9,@naa_two,870818196399456256,RT @LambaBhavesh: @Hungama_com @RaabtaOfficial @itsSSR @kritisanon The album of the year ❤ https://t.co/TqH4w3285U :  Download d app from d…,2017-06-03 01:43:31+00:00,com the album of the year download d app from d,0.0,0.0,neutral,0.0,1.0,0.0,0.0,2,Unknown
